Class,CreatedAt,Count
ACTIVE,2007-01-31 00:00:00+00:00,8
ACTIVE,2007-02-28 00:00:00+00:00,2
ACTIVE,2007-03-31 00:00:00+00:00,1
ACTIVE,2007-04-30 00:00:00+00:00,4
ACTIVE,2007-05-31 00:00:00+00:00,6
ACTIVE,2007-06-30 00:00:00+00:00,12
ACTIVE,2007-07-31 00:00:00+00:00,7
ACTIVE,2007-08-31 00:00:00+00:00,6
ACTIVE,2007-09-30 00:00:00+00:00,1
ACTIVE,2007-10-31 00:00:00+00:00,48
ACTIVE,2007-11-30 00:00:00+00:00,3
ACTIVE,2007-12-31 00:00:00+00:00,19
ACTIVE,2008-01-31 00:00:00+00:00,22
ACTIVE,2008-02-29 00:00:00+00:00,32
ACTIVE,2008-03-31 00:00:00+00:00,27
ACTIVE,2008-04-30 00:00:00+00:00,83
ACTIVE,2008-05-31 00:00:00+00:00,59
ACTIVE,2008-06-30 00:00:00+00:00,66
ACTIVE,2008-07-31 00:00:00+00:00,47
ACTIVE,2008-08-31 00:00:00+00:00,13
ACTIVE,2008-09-30 00:00:00+00:00,5
ACTIVE,2008-10-31 00:00:00+00:00,21
ACTIVE,2008-11-30 00:00:00+00:00,96
ACTIVE,2008-12-31 00:00:00+00:00,207
ACTIVE,2009-01-31 00:00:00+00:00,221
ACTIVE,2009-02-28 00:00:00+00:00,204
ACTIVE,2009-03-31 00:00:00+00:00,639
ACTIVE,2009-04-30 00:00:00+00:00,711
ACTIVE,2009-05-31 00:00:00+00:00,641
ACTIVE,2009-06-30 00:00:00+00:00,549
ACTIVE,2009-07-31 00:00:00+00:00,334
ACTIVE,2009-08-31 00:00:00+00:00,340
ACTIVE,2009-09-30 00:00:00+00:00,523
ACTIVE,2009-10-31 00:00:00+00:00,200
ACTIVE,2009-11-30 00:00:00+00:00,405
ACTIVE,2009-12-31 00:00:00+00:00,235
ACTIVE,2010-01-31 00:00:00+00:00,352
ACTIVE,2010-02-28 00:00:00+00:00,402
ACTIVE,2010-03-31 00:00:00+00:00,308
ACTIVE,2010-04-30 00:00:00+00:00,434
ACTIVE,2010-05-31 00:00:00+00:00,450
ACTIVE,2010-06-30 00:00:00+00:00,214
ACTIVE,2010-07-31 00:00:00+00:00,449
ACTIVE,2010-08-31 00:00:00+00:00,317
ACTIVE,2010-09-30 00:00:00+00:00,726
ACTIVE,2010-10-31 00:00:00+00:00,316
ACTIVE,2010-11-30 00:00:00+00:00,319
ACTIVE,2010-12-31 00:00:00+00:00,309
ACTIVE,2011-01-31 00:00:00+00:00,536
ACTIVE,2011-02-28 00:00:00+00:00,664
ACTIVE,2011-03-31 00:00:00+00:00,524
ACTIVE,2011-04-30 00:00:00+00:00,630
ACTIVE,2011-05-31 00:00:00+00:00,987
ACTIVE,2011-06-30 00:00:00+00:00,886
ACTIVE,2011-07-31 00:00:00+00:00,796
ACTIVE,2011-08-31 00:00:00+00:00,652
ACTIVE,2011-09-30 00:00:00+00:00,1070
ACTIVE,2011-10-31 00:00:00+00:00,1284
ACTIVE,2011-11-30 00:00:00+00:00,1349
ACTIVE,2011-12-31 00:00:00+00:00,433
ACTIVE,2012-01-31 00:00:00+00:00,547
ACTIVE,2012-02-29 00:00:00+00:00,585
ACTIVE,2012-03-31 00:00:00+00:00,607
ACTIVE,2012-04-30 00:00:00+00:00,895
ACTIVE,2012-05-31 00:00:00+00:00,1463
ACTIVE,2012-06-30 00:00:00+00:00,613
ACTIVE,2012-07-31 00:00:00+00:00,951
ACTIVE,2012-08-31 00:00:00+00:00,947
ACTIVE,2012-09-30 00:00:00+00:00,699
ACTIVE,2012-10-31 00:00:00+00:00,413
ACTIVE,2012-11-30 00:00:00+00:00,566
ACTIVE,2012-12-31 00:00:00+00:00,524
ACTIVE,2013-01-31 00:00:00+00:00,364
ACTIVE,2013-02-28 00:00:00+00:00,230
ACTIVE,2013-03-31 00:00:00+00:00,530
ACTIVE,2013-04-30 00:00:00+00:00,424
ACTIVE,2013-05-31 00:00:00+00:00,339
ACTIVE,2013-06-30 00:00:00+00:00,311
ACTIVE,2013-07-31 00:00:00+00:00,424
ACTIVE,2013-08-31 00:00:00+00:00,148
ACTIVE,2013-09-30 00:00:00+00:00,352
ACTIVE,2013-10-31 00:00:00+00:00,393
ACTIVE,2013-11-30 00:00:00+00:00,367
ACTIVE,2013-12-31 00:00:00+00:00,470
ACTIVE,2014-01-31 00:00:00+00:00,290
ACTIVE,2014-02-28 00:00:00+00:00,442
ACTIVE,2014-03-31 00:00:00+00:00,674
ACTIVE,2014-04-30 00:00:00+00:00,553
ACTIVE,2014-05-31 00:00:00+00:00,297
ACTIVE,2014-06-30 00:00:00+00:00,266
ACTIVE,2014-07-31 00:00:00+00:00,303
ACTIVE,2014-08-31 00:00:00+00:00,212
ACTIVE,2014-09-30 00:00:00+00:00,529
ACTIVE,2014-10-31 00:00:00+00:00,286
ACTIVE,2014-11-30 00:00:00+00:00,295
ACTIVE,2014-12-31 00:00:00+00:00,528
ACTIVE,2015-01-31 00:00:00+00:00,819
ACTIVE,2015-02-28 00:00:00+00:00,1289
ACTIVE,2015-03-31 00:00:00+00:00,499
ACTIVE,2015-04-30 00:00:00+00:00,265
ACTIVE,2015-05-31 00:00:00+00:00,333
ACTIVE,2015-06-30 00:00:00+00:00,635
ACTIVE,2015-07-31 00:00:00+00:00,1140
ACTIVE,2015-08-31 00:00:00+00:00,392
ACTIVE,2015-09-30 00:00:00+00:00,364
ACTIVE,2015-10-31 00:00:00+00:00,465
ACTIVE,2015-11-30 00:00:00+00:00,679
ACTIVE,2015-12-31 00:00:00+00:00,304
ACTIVE,2016-01-31 00:00:00+00:00,251
ACTIVE,2016-02-29 00:00:00+00:00,411
ACTIVE,2016-03-31 00:00:00+00:00,924
ACTIVE,2016-04-30 00:00:00+00:00,410
ACTIVE,2016-05-31 00:00:00+00:00,662
ACTIVE,2016-06-30 00:00:00+00:00,245
ACTIVE,2016-07-31 00:00:00+00:00,352
ACTIVE,2016-08-31 00:00:00+00:00,179
ACTIVE,2016-09-30 00:00:00+00:00,130
ACTIVE,2016-10-31 00:00:00+00:00,382
ACTIVE,2016-11-30 00:00:00+00:00,313
ACTIVE,2016-12-31 00:00:00+00:00,187
ACTIVE,2017-01-31 00:00:00+00:00,493
ACTIVE,2017-02-28 00:00:00+00:00,424
ACTIVE,2017-03-31 00:00:00+00:00,434
ACTIVE,2017-04-30 00:00:00+00:00,188
ACTIVE,2017-05-31 00:00:00+00:00,250
ACTIVE,2017-06-30 00:00:00+00:00,447
ACTIVE,2017-07-31 00:00:00+00:00,450
ACTIVE,2017-08-31 00:00:00+00:00,287
ACTIVE,2017-09-30 00:00:00+00:00,213
ACTIVE,2017-10-31 00:00:00+00:00,299
ACTIVE,2017-11-30 00:00:00+00:00,332
ACTIVE,2017-12-31 00:00:00+00:00,156
ACTIVE,2018-01-31 00:00:00+00:00,182
ACTIVE,2018-02-28 00:00:00+00:00,417
ACTIVE,2018-03-31 00:00:00+00:00,471
ACTIVE,2018-04-30 00:00:00+00:00,200
ACTIVE,2018-05-31 00:00:00+00:00,397
ACTIVE,2018-06-30 00:00:00+00:00,908
ACTIVE,2018-07-31 00:00:00+00:00,407
ACTIVE,2018-08-31 00:00:00+00:00,244
ACTIVE,2018-09-30 00:00:00+00:00,482
ACTIVE,2018-10-31 00:00:00+00:00,423
ACTIVE,2018-11-30 00:00:00+00:00,203
ACTIVE,2018-12-31 00:00:00+00:00,379
ACTIVE,2019-01-31 00:00:00+00:00,517
AMPLIFIER,2006-11-30 00:00:00+00:00,1
AMPLIFIER,2006-12-31 00:00:00+00:00,1
AMPLIFIER,2007-01-31 00:00:00+00:00,1
AMPLIFIER,2007-02-28 00:00:00+00:00,0
AMPLIFIER,2007-03-31 00:00:00+00:00,3
AMPLIFIER,2007-04-30 00:00:00+00:00,5
AMPLIFIER,2007-05-31 00:00:00+00:00,1
AMPLIFIER,2007-06-30 00:00:00+00:00,6
AMPLIFIER,2007-07-31 00:00:00+00:00,1
AMPLIFIER,2007-08-31 00:00:00+00:00,17
AMPLIFIER,2007-09-30 00:00:00+00:00,1
AMPLIFIER,2007-10-31 00:00:00+00:00,3
AMPLIFIER,2007-11-30 00:00:00+00:00,0
AMPLIFIER,2007-12-31 00:00:00+00:00,15
AMPLIFIER,2008-01-31 00:00:00+00:00,16
AMPLIFIER,2008-02-29 00:00:00+00:00,7
AMPLIFIER,2008-03-31 00:00:00+00:00,19
AMPLIFIER,2008-04-30 00:00:00+00:00,68
AMPLIFIER,2008-05-31 00:00:00+00:00,36
AMPLIFIER,2008-06-30 00:00:00+00:00,9
AMPLIFIER,2008-07-31 00:00:00+00:00,16
AMPLIFIER,2008-08-31 00:00:00+00:00,46
AMPLIFIER,2008-09-30 00:00:00+00:00,12
AMPLIFIER,2008-10-31 00:00:00+00:00,26
AMPLIFIER,2008-11-30 00:00:00+00:00,82
AMPLIFIER,2008-12-31 00:00:00+00:00,156
AMPLIFIER,2009-01-31 00:00:00+00:00,192
AMPLIFIER,2009-02-28 00:00:00+00:00,402
AMPLIFIER,2009-03-31 00:00:00+00:00,493
AMPLIFIER,2009-04-30 00:00:00+00:00,984
AMPLIFIER,2009-05-31 00:00:00+00:00,670
AMPLIFIER,2009-06-30 00:00:00+00:00,535
AMPLIFIER,2009-07-31 00:00:00+00:00,312
AMPLIFIER,2009-08-31 00:00:00+00:00,394
AMPLIFIER,2009-09-30 00:00:00+00:00,875
AMPLIFIER,2009-10-31 00:00:00+00:00,377
AMPLIFIER,2009-11-30 00:00:00+00:00,421
AMPLIFIER,2009-12-31 00:00:00+00:00,380
AMPLIFIER,2010-01-31 00:00:00+00:00,795
AMPLIFIER,2010-02-28 00:00:00+00:00,479
AMPLIFIER,2010-03-31 00:00:00+00:00,371
AMPLIFIER,2010-04-30 00:00:00+00:00,391
AMPLIFIER,2010-05-31 00:00:00+00:00,592
AMPLIFIER,2010-06-30 00:00:00+00:00,220
AMPLIFIER,2010-07-31 00:00:00+00:00,767
AMPLIFIER,2010-08-31 00:00:00+00:00,527
AMPLIFIER,2010-09-30 00:00:00+00:00,670
AMPLIFIER,2010-10-31 00:00:00+00:00,874
AMPLIFIER,2010-11-30 00:00:00+00:00,855
AMPLIFIER,2010-12-31 00:00:00+00:00,718
AMPLIFIER,2011-01-31 00:00:00+00:00,512
AMPLIFIER,2011-02-28 00:00:00+00:00,1215
AMPLIFIER,2011-03-31 00:00:00+00:00,1037
AMPLIFIER,2011-04-30 00:00:00+00:00,637
AMPLIFIER,2011-05-31 00:00:00+00:00,1644
AMPLIFIER,2011-06-30 00:00:00+00:00,1672
AMPLIFIER,2011-07-31 00:00:00+00:00,1156
AMPLIFIER,2011-08-31 00:00:00+00:00,921
AMPLIFIER,2011-09-30 00:00:00+00:00,1614
AMPLIFIER,2011-10-31 00:00:00+00:00,2197
AMPLIFIER,2011-11-30 00:00:00+00:00,3205
AMPLIFIER,2011-12-31 00:00:00+00:00,971
AMPLIFIER,2012-01-31 00:00:00+00:00,841
AMPLIFIER,2012-02-29 00:00:00+00:00,2318
AMPLIFIER,2012-03-31 00:00:00+00:00,921
AMPLIFIER,2012-04-30 00:00:00+00:00,1570
AMPLIFIER,2012-05-31 00:00:00+00:00,1330
AMPLIFIER,2012-06-30 00:00:00+00:00,1837
AMPLIFIER,2012-07-31 00:00:00+00:00,490
AMPLIFIER,2012-08-31 00:00:00+00:00,658
AMPLIFIER,2012-09-30 00:00:00+00:00,1003
AMPLIFIER,2012-10-31 00:00:00+00:00,711
AMPLIFIER,2012-11-30 00:00:00+00:00,898
AMPLIFIER,2012-12-31 00:00:00+00:00,599
AMPLIFIER,2013-01-31 00:00:00+00:00,777
AMPLIFIER,2013-02-28 00:00:00+00:00,1135
AMPLIFIER,2013-03-31 00:00:00+00:00,1692
AMPLIFIER,2013-04-30 00:00:00+00:00,712
AMPLIFIER,2013-05-31 00:00:00+00:00,963
AMPLIFIER,2013-06-30 00:00:00+00:00,647
AMPLIFIER,2013-07-31 00:00:00+00:00,349
AMPLIFIER,2013-08-31 00:00:00+00:00,771
AMPLIFIER,2013-09-30 00:00:00+00:00,940
AMPLIFIER,2013-10-31 00:00:00+00:00,1400
AMPLIFIER,2013-11-30 00:00:00+00:00,1559
AMPLIFIER,2013-12-31 00:00:00+00:00,645
AMPLIFIER,2014-01-31 00:00:00+00:00,979
AMPLIFIER,2014-02-28 00:00:00+00:00,996
AMPLIFIER,2014-03-31 00:00:00+00:00,876
AMPLIFIER,2014-04-30 00:00:00+00:00,1371
AMPLIFIER,2014-05-31 00:00:00+00:00,1143
AMPLIFIER,2014-06-30 00:00:00+00:00,889
AMPLIFIER,2014-07-31 00:00:00+00:00,1454
AMPLIFIER,2014-08-31 00:00:00+00:00,471
AMPLIFIER,2014-09-30 00:00:00+00:00,378
AMPLIFIER,2014-10-31 00:00:00+00:00,1143
AMPLIFIER,2014-11-30 00:00:00+00:00,992
AMPLIFIER,2014-12-31 00:00:00+00:00,994
AMPLIFIER,2015-01-31 00:00:00+00:00,1727
AMPLIFIER,2015-02-28 00:00:00+00:00,2139
AMPLIFIER,2015-03-31 00:00:00+00:00,1580
AMPLIFIER,2015-04-30 00:00:00+00:00,1886
AMPLIFIER,2015-05-31 00:00:00+00:00,1059
AMPLIFIER,2015-06-30 00:00:00+00:00,1674
AMPLIFIER,2015-07-31 00:00:00+00:00,2342
AMPLIFIER,2015-08-31 00:00:00+00:00,1046
AMPLIFIER,2015-09-30 00:00:00+00:00,1344
AMPLIFIER,2015-10-31 00:00:00+00:00,1730
AMPLIFIER,2015-11-30 00:00:00+00:00,1840
AMPLIFIER,2015-12-31 00:00:00+00:00,838
AMPLIFIER,2016-01-31 00:00:00+00:00,1949
AMPLIFIER,2016-02-29 00:00:00+00:00,1200
AMPLIFIER,2016-03-31 00:00:00+00:00,1113
AMPLIFIER,2016-04-30 00:00:00+00:00,1557
AMPLIFIER,2016-05-31 00:00:00+00:00,1006
AMPLIFIER,2016-06-30 00:00:00+00:00,761
AMPLIFIER,2016-07-31 00:00:00+00:00,802
AMPLIFIER,2016-08-31 00:00:00+00:00,786
AMPLIFIER,2016-09-30 00:00:00+00:00,1304
AMPLIFIER,2016-10-31 00:00:00+00:00,1132
AMPLIFIER,2016-11-30 00:00:00+00:00,527
AMPLIFIER,2016-12-31 00:00:00+00:00,938
AMPLIFIER,2017-01-31 00:00:00+00:00,1338
AMPLIFIER,2017-02-28 00:00:00+00:00,582
AMPLIFIER,2017-03-31 00:00:00+00:00,1062
AMPLIFIER,2017-04-30 00:00:00+00:00,1030
AMPLIFIER,2017-05-31 00:00:00+00:00,1272
AMPLIFIER,2017-06-30 00:00:00+00:00,1024
AMPLIFIER,2017-07-31 00:00:00+00:00,1378
AMPLIFIER,2017-08-31 00:00:00+00:00,529
AMPLIFIER,2017-09-30 00:00:00+00:00,739
AMPLIFIER,2017-10-31 00:00:00+00:00,1449
AMPLIFIER,2017-11-30 00:00:00+00:00,1056
AMPLIFIER,2017-12-31 00:00:00+00:00,1071
AMPLIFIER,2018-01-31 00:00:00+00:00,1512
AMPLIFIER,2018-02-28 00:00:00+00:00,2244
AMPLIFIER,2018-03-31 00:00:00+00:00,1855
