Class,CreatedAt,Count
AMPLIFIER,2018-04-30 00:00:00+00:00,691
AMPLIFIER,2018-05-31 00:00:00+00:00,1576
AMPLIFIER,2018-06-30 00:00:00+00:00,890
AMPLIFIER,2018-07-31 00:00:00+00:00,1196
AMPLIFIER,2018-08-31 00:00:00+00:00,1287
AMPLIFIER,2018-09-30 00:00:00+00:00,1259
AMPLIFIER,2018-10-31 00:00:00+00:00,799
AMPLIFIER,2018-11-30 00:00:00+00:00,991
AMPLIFIER,2018-12-31 00:00:00+00:00,1110
AMPLIFIER,2019-01-31 00:00:00+00:00,1294
INFLUENCER,2007-06-30 00:00:00+00:00,6
INFLUENCER,2007-07-31 00:00:00+00:00,1
INFLUENCER,2007-08-31 00:00:00+00:00,0
INFLUENCER,2007-09-30 00:00:00+00:00,0
INFLUENCER,2007-10-31 00:00:00+00:00,13
INFLUENCER,2007-11-30 00:00:00+00:00,16
INFLUENCER,2007-12-31 00:00:00+00:00,0
INFLUENCER,2008-01-31 00:00:00+00:00,15
INFLUENCER,2008-02-29 00:00:00+00:00,47
INFLUENCER,2008-03-31 00:00:00+00:00,1
INFLUENCER,2008-04-30 00:00:00+00:00,59
INFLUENCER,2008-05-31 00:00:00+00:00,7
INFLUENCER,2008-06-30 00:00:00+00:00,0
INFLUENCER,2008-07-31 00:00:00+00:00,7
INFLUENCER,2008-08-31 00:00:00+00:00,0
INFLUENCER,2008-09-30 00:00:00+00:00,20
INFLUENCER,2008-10-31 00:00:00+00:00,26
INFLUENCER,2008-11-30 00:00:00+00:00,111
INFLUENCER,2008-12-31 00:00:00+00:00,12
INFLUENCER,2009-01-31 00:00:00+00:00,485
INFLUENCER,2009-02-28 00:00:00+00:00,126
INFLUENCER,2009-03-31 00:00:00+00:00,242
INFLUENCER,2009-04-30 00:00:00+00:00,239
INFLUENCER,2009-05-31 00:00:00+00:00,295
INFLUENCER,2009-06-30 00:00:00+00:00,41
INFLUENCER,2009-07-31 00:00:00+00:00,221
INFLUENCER,2009-08-31 00:00:00+00:00,836
INFLUENCER,2009-09-30 00:00:00+00:00,219
INFLUENCER,2009-10-31 00:00:00+00:00,240
INFLUENCER,2009-11-30 00:00:00+00:00,39
INFLUENCER,2009-12-31 00:00:00+00:00,8
INFLUENCER,2010-01-31 00:00:00+00:00,96
INFLUENCER,2010-02-28 00:00:00+00:00,94
INFLUENCER,2010-03-31 00:00:00+00:00,240
INFLUENCER,2010-04-30 00:00:00+00:00,215
INFLUENCER,2010-05-31 00:00:00+00:00,36
INFLUENCER,2010-06-30 00:00:00+00:00,10
INFLUENCER,2010-07-31 00:00:00+00:00,39
INFLUENCER,2010-08-31 00:00:00+00:00,153
INFLUENCER,2010-09-30 00:00:00+00:00,319
INFLUENCER,2010-10-31 00:00:00+00:00,324
INFLUENCER,2010-11-30 00:00:00+00:00,180
INFLUENCER,2010-12-31 00:00:00+00:00,115
INFLUENCER,2011-01-31 00:00:00+00:00,436
INFLUENCER,2011-02-28 00:00:00+00:00,665
INFLUENCER,2011-03-31 00:00:00+00:00,53
INFLUENCER,2011-04-30 00:00:00+00:00,96
INFLUENCER,2011-05-31 00:00:00+00:00,265
INFLUENCER,2011-06-30 00:00:00+00:00,279
INFLUENCER,2011-07-31 00:00:00+00:00,317
INFLUENCER,2011-08-31 00:00:00+00:00,55
INFLUENCER,2011-09-30 00:00:00+00:00,125
INFLUENCER,2011-10-31 00:00:00+00:00,315
INFLUENCER,2011-11-30 00:00:00+00:00,205
INFLUENCER,2011-12-31 00:00:00+00:00,59
INFLUENCER,2012-01-31 00:00:00+00:00,21
INFLUENCER,2012-02-29 00:00:00+00:00,58
INFLUENCER,2012-03-31 00:00:00+00:00,339
INFLUENCER,2012-04-30 00:00:00+00:00,192
INFLUENCER,2012-05-31 00:00:00+00:00,48
INFLUENCER,2012-06-30 00:00:00+00:00,6
INFLUENCER,2012-07-31 00:00:00+00:00,472
INFLUENCER,2012-08-31 00:00:00+00:00,70
INFLUENCER,2012-09-30 00:00:00+00:00,133
INFLUENCER,2012-10-31 00:00:00+00:00,97
INFLUENCER,2012-11-30 00:00:00+00:00,27
INFLUENCER,2012-12-31 00:00:00+00:00,8
INFLUENCER,2013-01-31 00:00:00+00:00,52
INFLUENCER,2013-02-28 00:00:00+00:00,6
INFLUENCER,2013-03-31 00:00:00+00:00,19
INFLUENCER,2013-04-30 00:00:00+00:00,6
INFLUENCER,2013-05-31 00:00:00+00:00,41
INFLUENCER,2013-06-30 00:00:00+00:00,168
INFLUENCER,2013-07-31 00:00:00+00:00,40
INFLUENCER,2013-08-31 00:00:00+00:00,9
INFLUENCER,2013-09-30 00:00:00+00:00,199
INFLUENCER,2013-10-31 00:00:00+00:00,11
INFLUENCER,2013-11-30 00:00:00+00:00,100
INFLUENCER,2013-12-31 00:00:00+00:00,7
INFLUENCER,2014-01-31 00:00:00+00:00,65
INFLUENCER,2014-02-28 00:00:00+00:00,175
INFLUENCER,2014-03-31 00:00:00+00:00,21
INFLUENCER,2014-04-30 00:00:00+00:00,773
INFLUENCER,2014-05-31 00:00:00+00:00,15
INFLUENCER,2014-06-30 00:00:00+00:00,2
INFLUENCER,2014-07-31 00:00:00+00:00,0
INFLUENCER,2014-08-31 00:00:00+00:00,45
INFLUENCER,2014-09-30 00:00:00+00:00,97
INFLUENCER,2014-10-31 00:00:00+00:00,1
INFLUENCER,2014-11-30 00:00:00+00:00,15
INFLUENCER,2014-12-31 00:00:00+00:00,54
INFLUENCER,2015-01-31 00:00:00+00:00,6
INFLUENCER,2015-02-28 00:00:00+00:00,142
INFLUENCER,2015-03-31 00:00:00+00:00,16
INFLUENCER,2015-04-30 00:00:00+00:00,8
INFLUENCER,2015-05-31 00:00:00+00:00,21
INFLUENCER,2015-06-30 00:00:00+00:00,75
INFLUENCER,2015-07-31 00:00:00+00:00,495
INFLUENCER,2015-08-31 00:00:00+00:00,0
INFLUENCER,2015-09-30 00:00:00+00:00,37
INFLUENCER,2015-10-31 00:00:00+00:00,34
INFLUENCER,2015-11-30 00:00:00+00:00,1
INFLUENCER,2015-12-31 00:00:00+00:00,1
INFLUENCER,2016-01-31 00:00:00+00:00,18
INFLUENCER,2016-02-29 00:00:00+00:00,0
INFLUENCER,2016-03-31 00:00:00+00:00,104
INFLUENCER,2016-04-30 00:00:00+00:00,0
INFLUENCER,2016-05-31 00:00:00+00:00,1
INFLUENCER,2016-06-30 00:00:00+00:00,0
INFLUENCER,2016-07-31 00:00:00+00:00,7
INFLUENCER,2016-08-31 00:00:00+00:00,0
INFLUENCER,2016-09-30 00:00:00+00:00,121
INFLUENCER,2016-10-31 00:00:00+00:00,0
INFLUENCER,2016-11-30 00:00:00+00:00,112
INFLUENCER,2016-12-31 00:00:00+00:00,0
INFLUENCER,2017-01-31 00:00:00+00:00,2
INFLUENCER,2017-02-28 00:00:00+00:00,1
INFLUENCER,2017-03-31 00:00:00+00:00,0
INFLUENCER,2017-04-30 00:00:00+00:00,0
INFLUENCER,2017-05-31 00:00:00+00:00,3
INFLUENCER,2017-06-30 00:00:00+00:00,2
INFLUENCER,2017-07-31 00:00:00+00:00,0
INFLUENCER,2017-08-31 00:00:00+00:00,0
INFLUENCER,2017-09-30 00:00:00+00:00,0
INFLUENCER,2017-10-31 00:00:00+00:00,0
INFLUENCER,2017-11-30 00:00:00+00:00,0
INFLUENCER,2017-12-31 00:00:00+00:00,13
INFLUENCER,2018-01-31 00:00:00+00:00,0
INFLUENCER,2018-02-28 00:00:00+00:00,0
INFLUENCER,2018-03-31 00:00:00+00:00,0
INFLUENCER,2018-04-30 00:00:00+00:00,0
INFLUENCER,2018-05-31 00:00:00+00:00,0
INFLUENCER,2018-06-30 00:00:00+00:00,1
INFLUENCER,2018-07-31 00:00:00+00:00,0
INFLUENCER,2018-08-31 00:00:00+00:00,0
INFLUENCER,2018-09-30 00:00:00+00:00,0
INFLUENCER,2018-10-31 00:00:00+00:00,0
INFLUENCER,2018-11-30 00:00:00+00:00,1
NEW,2019-01-31 00:00:00+00:00,569
NEW,2019-02-28 00:00:00+00:00,3003
NEW,2019-03-31 00:00:00+00:00,2826
NEW,2019-04-30 00:00:00+00:00,2895
NEW,2019-05-31 00:00:00+00:00,4144
UNKNOWN,2008-02-29 00:00:00+00:00,37
UNKNOWN,2008-03-31 00:00:00+00:00,0
UNKNOWN,2008-04-30 00:00:00+00:00,0
UNKNOWN,2008-05-31 00:00:00+00:00,0
UNKNOWN,2008-06-30 00:00:00+00:00,0
UNKNOWN,2008-07-31 00:00:00+00:00,0
UNKNOWN,2008-08-31 00:00:00+00:00,0
UNKNOWN,2008-09-30 00:00:00+00:00,9
UNKNOWN,2008-10-31 00:00:00+00:00,1
UNKNOWN,2008-11-30 00:00:00+00:00,1
UNKNOWN,2008-12-31 00:00:00+00:00,1
UNKNOWN,2009-01-31 00:00:00+00:00,4
UNKNOWN,2009-02-28 00:00:00+00:00,3
UNKNOWN,2009-03-31 00:00:00+00:00,0
UNKNOWN,2009-04-30 00:00:00+00:00,40
UNKNOWN,2009-05-31 00:00:00+00:00,12
UNKNOWN,2009-06-30 00:00:00+00:00,1
UNKNOWN,2009-07-31 00:00:00+00:00,205
UNKNOWN,2009-08-31 00:00:00+00:00,1
UNKNOWN,2009-09-30 00:00:00+00:00,3
UNKNOWN,2009-10-31 00:00:00+00:00,0
UNKNOWN,2009-11-30 00:00:00+00:00,1
UNKNOWN,2009-12-31 00:00:00+00:00,1
UNKNOWN,2010-01-31 00:00:00+00:00,0
UNKNOWN,2010-02-28 00:00:00+00:00,105
UNKNOWN,2010-03-31 00:00:00+00:00,1
UNKNOWN,2010-04-30 00:00:00+00:00,7
UNKNOWN,2010-05-31 00:00:00+00:00,1
UNKNOWN,2010-06-30 00:00:00+00:00,9
UNKNOWN,2010-07-31 00:00:00+00:00,2
UNKNOWN,2010-08-31 00:00:00+00:00,14
UNKNOWN,2010-09-30 00:00:00+00:00,15
UNKNOWN,2010-10-31 00:00:00+00:00,28
UNKNOWN,2010-11-30 00:00:00+00:00,0
UNKNOWN,2010-12-31 00:00:00+00:00,1
UNKNOWN,2011-01-31 00:00:00+00:00,11
UNKNOWN,2011-02-28 00:00:00+00:00,3
UNKNOWN,2011-03-31 00:00:00+00:00,37
UNKNOWN,2011-04-30 00:00:00+00:00,0
UNKNOWN,2011-05-31 00:00:00+00:00,9
UNKNOWN,2011-06-30 00:00:00+00:00,54
UNKNOWN,2011-07-31 00:00:00+00:00,11
UNKNOWN,2011-08-31 00:00:00+00:00,0
UNKNOWN,2011-09-30 00:00:00+00:00,30
UNKNOWN,2011-10-31 00:00:00+00:00,22
UNKNOWN,2011-11-30 00:00:00+00:00,50
UNKNOWN,2011-12-31 00:00:00+00:00,0
UNKNOWN,2012-01-31 00:00:00+00:00,2
UNKNOWN,2012-02-29 00:00:00+00:00,0
UNKNOWN,2012-03-31 00:00:00+00:00,26
UNKNOWN,2012-04-30 00:00:00+00:00,0
UNKNOWN,2012-05-31 00:00:00+00:00,6
UNKNOWN,2012-06-30 00:00:00+00:00,4
UNKNOWN,2012-07-31 00:00:00+00:00,0
UNKNOWN,2012-08-31 00:00:00+00:00,2
UNKNOWN,2012-09-30 00:00:00+00:00,19
UNKNOWN,2012-10-31 00:00:00+00:00,0
UNKNOWN,2012-11-30 00:00:00+00:00,2
UNKNOWN,2012-12-31 00:00:00+00:00,5
UNKNOWN,2013-01-31 00:00:00+00:00,32
UNKNOWN,2013-02-28 00:00:00+00:00,14
UNKNOWN,2013-03-31 00:00:00+00:00,2
UNKNOWN,2013-04-30 00:00:00+00:00,4
UNKNOWN,2013-05-31 00:00:00+00:00,0
UNKNOWN,2013-06-30 00:00:00+00:00,7
UNKNOWN,2013-07-31 00:00:00+00:00,0
UNKNOWN,2013-08-31 00:00:00+00:00,0
UNKNOWN,2013-09-30 00:00:00+00:00,14
UNKNOWN,2013-10-31 00:00:00+00:00,0
UNKNOWN,2013-11-30 00:00:00+00:00,1
UNKNOWN,2013-12-31 00:00:00+00:00,27
UNKNOWN,2014-01-31 00:00:00+00:00,11
UNKNOWN,2014-02-28 00:00:00+00:00,0
UNKNOWN,2014-03-31 00:00:00+00:00,199
UNKNOWN,2014-04-30 00:00:00+00:00,0
UNKNOWN,2014-05-31 00:00:00+00:00,21
UNKNOWN,2014-06-30 00:00:00+00:00,53
UNKNOWN,2014-07-31 00:00:00+00:00,22
UNKNOWN,2014-08-31 00:00:00+00:00,1
UNKNOWN,2014-09-30 00:00:00+00:00,13
UNKNOWN,2014-10-31 00:00:00+00:00,3
UNKNOWN,2014-11-30 00:00:00+00:00,3
UNKNOWN,2014-12-31 00:00:00+00:00,59
UNKNOWN,2015-01-31 00:00:00+00:00,39
UNKNOWN,2015-02-28 00:00:00+00:00,118
UNKNOWN,2015-03-31 00:00:00+00:00,2
UNKNOWN,2015-04-30 00:00:00+00:00,2
UNKNOWN,2015-05-31 00:00:00+00:00,148
UNKNOWN,2015-06-30 00:00:00+00:00,6
UNKNOWN,2015-07-31 00:00:00+00:00,24
UNKNOWN,2015-08-31 00:00:00+00:00,2
UNKNOWN,2015-09-30 00:00:00+00:00,13
UNKNOWN,2015-10-31 00:00:00+00:00,0
UNKNOWN,2015-11-30 00:00:00+00:00,0
UNKNOWN,2015-12-31 00:00:00+00:00,0
UNKNOWN,2016-01-31 00:00:00+00:00,12
UNKNOWN,2016-02-29 00:00:00+00:00,56
UNKNOWN,2016-03-31 00:00:00+00:00,5
UNKNOWN,2016-04-30 00:00:00+00:00,1
UNKNOWN,2016-05-31 00:00:00+00:00,0
UNKNOWN,2016-06-30 00:00:00+00:00,137
UNKNOWN,2016-07-31 00:00:00+00:00,4
UNKNOWN,2016-08-31 00:00:00+00:00,8
UNKNOWN,2016-09-30 00:00:00+00:00,0
UNKNOWN,2016-10-31 00:00:00+00:00,2
UNKNOWN,2016-11-30 00:00:00+00:00,20
UNKNOWN,2016-12-31 00:00:00+00:00,8
UNKNOWN,2017-01-31 00:00:00+00:00,2
UNKNOWN,2017-02-28 00:00:00+00:00,2
UNKNOWN,2017-03-31 00:00:00+00:00,1
UNKNOWN,2017-04-30 00:00:00+00:00,8
UNKNOWN,2017-05-31 00:00:00+00:00,8
UNKNOWN,2017-06-30 00:00:00+00:00,1
UNKNOWN,2017-07-31 00:00:00+00:00,5
UNKNOWN,2017-08-31 00:00:00+00:00,0
UNKNOWN,2017-09-30 00:00:00+00:00,4
UNKNOWN,2017-10-31 00:00:00+00:00,1
UNKNOWN,2017-11-30 00:00:00+00:00,20
UNKNOWN,2017-12-31 00:00:00+00:00,0
UNKNOWN,2018-01-31 00:00:00+00:00,7
UNKNOWN,2018-02-28 00:00:00+00:00,38
UNKNOWN,2018-03-31 00:00:00+00:00,3
UNKNOWN,2018-04-30 00:00:00+00:00,3
UNKNOWN,2018-05-31 00:00:00+00:00,8
UNKNOWN,2018-06-30 00:00:00+00:00,1
UNKNOWN,2018-07-31 00:00:00+00:00,1
UNKNOWN,2018-08-31 00:00:00+00:00,0
UNKNOWN,2018-09-30 00:00:00+00:00,0
UNKNOWN,2018-10-31 00:00:00+00:00,2
UNKNOWN,2018-11-30 00:00:00+00:00,0
UNKNOWN,2018-12-31 00:00:00+00:00,8
UNKNOWN,2019-01-31 00:00:00+00:00,13
